OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/04/27 00:00:00','ZJ79088442',0,'PayType','','','002','002','2026/04/27 11:50:34'
'2026/04/27 00:00:00','ZJ79088442',0,'InvPayType','1','','002','002','2026/04/27 11:50:34'
'2026/04/27 00:00:00','ZJ79088442',0,'InvAmt','1000','','002','002','2026/04/27 11:50:34'
'2026/04/27 00:00:00','ZJ79088442',0,'BottomLine1','現金1000','','002','002','2026/04/27 11:50:34'
'2026/04/27 00:00:00','ZJ79088442',0,'BottomLine2','收:1,000, 找零:0','','002','002','2026/04/27 11:50:34'
'2026/04/27 00:00:00','ZJ79088442',0,'Random','6406','','002','002','2026/04/27 11:50:34'
'2026/04/27 00:00:00','ZJ79088442',1,'','員工包月餐:1:1000: :1000','','002','002','2026/04/27 11:50:34'
'2026/04/27 00:00:00','ZJ79088442',0,'InvPreTaxAmt','1000','','002','002','2026/04/27 11:50:34'
'2026/04/27 00:00:00','ZJ79088442',0,'NTAmt','0','','002','002','2026/04/27 11:50:34'
'2026/04/27 00:00:00','ZJ79088443',0,'PayType','','','002','002','2026/04/27 11:53:20'
'2026/04/27 00:00:00','ZJ79088443',0,'InvPayType','1','','002','002','2026/04/27 11:53:20'
'2026/04/27 00:00:00','ZJ79088443',0,'InvAmt','1000','','002','002','2026/04/27 11:53:20'
'2026/04/27 00:00:00','ZJ79088443',0,'BottomLine1','現金1000','','002','002','2026/04/27 11:53:20'
'2026/04/27 00:00:00','ZJ79088443',0,'BottomLine2','收:1,000, 找零:0','','002','002','2026/04/27 11:53:20'
'2026/04/27 00:00:00','ZJ79088443',0,'Random','1457','','002','002','2026/04/27 11:53:20'
'2026/04/27 00:00:00','ZJ79088443',1,'','員工包月餐:1:1000: :1000','','002','002','2026/04/27 11:53:20'
'2026/04/27 00:00:00','ZJ79088443',0,'InvPreTaxAmt','1000','','002','002','2026/04/27 11:53:20'
'2026/04/27 00:00:00','ZJ79088443',0,'NTAmt','0','','002','002','2026/04/27 11:53:20'
'2026/04/27 00:00:00','ZJ79088444',0,'CarrierCode','/64+UR2S','','002','002','2026/04/27 11:57:40'
'2026/04/27 00:00:00','ZJ79088444',0,'CarrierType','0','','002','002','2026/04/27 11:57:40'
'2026/04/27 00:00:00','ZJ79088444',0,'PayType','8','','002','002','2026/04/27 11:57:40'
'2026/04/27 00:00:00','ZJ79088444',0,'InvPayType','5','','002','002','2026/04/27 11:57:40'
'2026/04/27 00:00:00','ZJ79088444',0,'InvAmt','500','','002','002','2026/04/27 11:57:40'
'2026/04/27 00:00:00','ZJ79088444',0,'BottomLine1','電子支付500','','002','002','2026/04/27 11:57:40'
'2026/04/27 00:00:00','ZJ79088444',0,'Random','4043','','002','002','2026/04/27 11:57:40'
'2026/04/27 00:00:00','ZJ79088444',1,'','精緻自助餐(大人):2:250: :500','','002','002','2026/04/27 11:57:40'
'2026/04/27 00:00:00','ZJ79088444',0,'InvPreTaxAmt','500','','002','002','2026/04/27 11:57:40'
'2026/04/27 00:00:00','ZJ79088444',0,'NTAmt','0','','002','002','2026/04/27 11:57:40'
'2026/04/27 00:00:00','ZJ79088445',0,'PayType','','','002','002','2026/04/27 12:04:09'
'2026/04/27 00:00:00','ZJ79088445',0,'InvPayType','1','','002','002','2026/04/27 12:04:09'
'2026/04/27 00:00:00','ZJ79088445',0,'InvAmt','225','','002','002','2026/04/27 12:04:09'
'2026/04/27 00:00:00','ZJ79088445',0,'BottomLine1','現金225','','002','002','2026/04/27 12:04:09'
'2026/04/27 00:00:00','ZJ79088445',0,'BottomLine2','收:1,025, 找零:800','','002','002','2026/04/27 12:04:09'
'2026/04/27 00:00:00','ZJ79088445',0,'Random','7478','','002','002','2026/04/27 12:04:09'
'2026/04/27 00:00:00','ZJ79088445',1,'','精緻自助餐(大人)(九折):1:225: :225','','002','002','2026/04/27 12:04:09'
'2026/04/27 00:00:00','ZJ79088445',0,'InvPreTaxAmt','225','','002','002','2026/04/27 12:04:09'
'2026/04/27 00:00:00','ZJ79088445',0,'NTAmt','0','','002','002','2026/04/27 12:04:09'
'2026/04/27 00:00:00','ZJ79088446',0,'PayType','','','002','002','2026/04/27 12:08:46'
'2026/04/27 00:00:00','ZJ79088446',0,'InvPayType','1','','002','002','2026/04/27 12:08:46'
'2026/04/27 00:00:00','ZJ79088446',0,'InvAmt','270','','002','002','2026/04/27 12:08:46'
'2026/04/27 00:00:00','ZJ79088446',0,'BottomLine1','現金270','','002','002','2026/04/27 12:08:46'
'2026/04/27 00:00:00','ZJ79088446',0,'BottomLine2','收:270, 找零:0','','002','002','2026/04/27 12:08:46'
'2026/04/27 00:00:00','ZJ79088446',0,'Random','3264','','002','002','2026/04/27 12:08:46'
'2026/04/27 00:00:00','ZJ79088446',1,'','黑橄欖乳酪:3:90: :270','','002','002','2026/04/27 12:08:46'
