OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/06/04 00:00:00','BM92177872',0,'CheckNo','260604P30001','','003','市集','2026/06/04 13:16:06'
'2026/06/04 00:00:00','BM92177872',0,'PayType','','','003','市集','2026/06/04 13:16:07'
'2026/06/04 00:00:00','BM92177872',0,'InvPayType','1','','003','市集','2026/06/04 13:16:07'
'2026/06/04 00:00:00','BM92177872',0,'InvAmt','90','','003','市集','2026/06/04 13:16:07'
'2026/06/04 00:00:00','BM92177872',0,'BottomLine1','現金90','','003','市集','2026/06/04 13:16:07'
'2026/06/04 00:00:00','BM92177872',0,'BottomLine2','現收:90, 找零:0','','003','市集','2026/06/04 13:16:07'
'2026/06/04 00:00:00','BM92177872',0,'Random','5256','','003','市集','2026/06/04 13:16:07'
'2026/06/04 00:00:00','BM92177872',1,'','小奶油吐司:1:90: :90','','003','市集','2026/06/04 13:16:07'
'2026/06/04 00:00:00','BM92177872',0,'InvPreTaxAmt','90','','003','市集','2026/06/04 13:16:07'
'2026/06/04 00:00:00','BM92177872',0,'NTAmt','0','','003','市集','2026/06/04 13:16:07'
'2026/06/04 00:00:00','BM92177873',0,'CarrierCode','/J-8KKFQ','','003','市集','2026/06/04 13:17:37'
'2026/06/04 00:00:00','BM92177873',0,'CarrierType','0','','003','市集','2026/06/04 13:17:37'
'2026/06/04 00:00:00','BM92177873',0,'CheckNo','260604P30002','','003','市集','2026/06/04 13:17:37'
'2026/06/04 00:00:00','BM92177873',0,'PayType','','','003','市集','2026/06/04 13:17:37'
'2026/06/04 00:00:00','BM92177873',0,'InvPayType','1','','003','市集','2026/06/04 13:17:37'
'2026/06/04 00:00:00','BM92177873',0,'InvAmt','160','','003','市集','2026/06/04 13:17:37'
'2026/06/04 00:00:00','BM92177873',0,'BottomLine1','現金160','','003','市集','2026/06/04 13:17:37'
'2026/06/04 00:00:00','BM92177873',0,'BottomLine2','現收:160, 找零:0','','003','市集','2026/06/04 13:17:37'
'2026/06/04 00:00:00','BM92177873',0,'Random','2799','','003','市集','2026/06/04 13:17:37'
'2026/06/04 00:00:00','BM92177873',1,'','200元麵包(員工價):1:160: :160','','003','市集','2026/06/04 13:17:37'
'2026/06/04 00:00:00','BM92177873',0,'InvPreTaxAmt','160','','003','市集','2026/06/04 13:17:37'
'2026/06/04 00:00:00','BM92177873',0,'NTAmt','0','','003','市集','2026/06/04 13:17:37'
'2026/06/04 00:00:00','BM92177874',0,'CheckNo','260604P30003','','003','市集','2026/06/04 13:18:31'
'2026/06/04 00:00:00','BM92177874',0,'PayType','','','003','市集','2026/06/04 13:18:31'
'2026/06/04 00:00:00','BM92177874',0,'InvPayType','1','','003','市集','2026/06/04 13:18:31'
'2026/06/04 00:00:00','BM92177874',0,'InvAmt','80','','003','市集','2026/06/04 13:18:31'
'2026/06/04 00:00:00','BM92177874',0,'BottomLine1','現金80','','003','市集','2026/06/04 13:18:31'
'2026/06/04 00:00:00','BM92177874',0,'BottomLine2','現收:80, 找零:0','','003','市集','2026/06/04 13:18:31'
'2026/06/04 00:00:00','BM92177874',0,'Random','9712','','003','市集','2026/06/04 13:18:31'
'2026/06/04 00:00:00','BM92177874',1,'','鹽巧巴達:1:80: :80','','003','市集','2026/06/04 13:18:31'
'2026/06/04 00:00:00','BM92177874',0,'InvPreTaxAmt','80','','003','市集','2026/06/04 13:18:31'
'2026/06/04 00:00:00','BM92177874',0,'NTAmt','0','','003','市集','2026/06/04 13:18:31'
'2026/06/04 00:00:00','BM92177875',0,'CheckNo','260604P30004','','003','市集','2026/06/04 13:19:06'
'2026/06/04 00:00:00','BM92177875',0,'PayType','','','003','市集','2026/06/04 13:19:06'
'2026/06/04 00:00:00','BM92177875',0,'InvPayType','1','','003','市集','2026/06/04 13:19:06'
'2026/06/04 00:00:00','BM92177875',0,'InvAmt','80','','003','市集','2026/06/04 13:19:06'
'2026/06/04 00:00:00','BM92177875',0,'BottomLine1','現金80','','003','市集','2026/06/04 13:19:06'
'2026/06/04 00:00:00','BM92177875',0,'BottomLine2','現收:80, 找零:0','','003','市集','2026/06/04 13:19:06'
'2026/06/04 00:00:00','BM92177875',0,'Random','9204','','003','市集','2026/06/04 13:19:06'
'2026/06/04 00:00:00','BM92177875',1,'','鹽巧巴達:1:80: :80','','003','市集','2026/06/04 13:19:06'
'2026/06/04 00:00:00','BM92177875',0,'InvPreTaxAmt','80','','003','市集','2026/06/04 13:19:06'
'2026/06/04 00:00:00','BM92177875',0,'NTAmt','0','','003','市集','2026/06/04 13:19:06'
'2026/06/04 00:00:00','BM92177876',0,'CarrierCode','/YN7XF7L','','003','市集','2026/06/04 13:22:39'
'2026/06/04 00:00:00','BM92177876',0,'CarrierType','0','','003','市集','2026/06/04 13:22:39'
'2026/06/04 00:00:00','BM92177876',0,'CheckNo','260604P30005','','003','市集','2026/06/04 13:22:39'
'2026/06/04 00:00:00','BM92177876',0,'PayType','','','003','市集','2026/06/04 13:22:39'
'2026/06/04 00:00:00','BM92177876',0,'InvPayType','1','','003','市集','2026/06/04 13:22:39'
'2026/06/04 00:00:00','BM92177876',0,'InvAmt','160','','003','市集','2026/06/04 13:22:39'
'2026/06/04 00:00:00','BM92177876',0,'BottomLine1','現金160','','003','市集','2026/06/04 13:22:39'
'2026/06/04 00:00:00','BM92177876',0,'BottomLine2','現收:160, 找零:0','','003','市集','2026/06/04 13:22:39'
'2026/06/04 00:00:00','BM92177876',0,'Random','1854','','003','市集','2026/06/04 13:22:39'
'2026/06/04 00:00:00','BM92177876',1,'','核桃乳酪餐包:1:160: :160','','003','市集','2026/06/04 13:22:39'
'2026/06/04 00:00:00','BM92177876',0,'InvPreTaxAmt','160','','003','市集','2026/06/04 13:22:39'
